"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info","Leftover Capture Data","Leftover Capture Data","Leftover Capture Data"
"74","7.704848","1.7.1","host","USB","72","0200000000000000","URB_INTERRUPT in","0200000000000000","0200000000000000","0200000000000000"
"76","7.912852","1.7.1","host","USB","72","0200130000000000","URB_INTERRUPT in","0200130000000000","0200130000000000","0200130000000000"
"78","8.048850","1.7.1","host","USB","72","0200000000000000","URB_INTERRUPT in","0200000000000000","0200000000000000","0200000000000000"
"82","9.328838","1.7.1","host","USB","72","00001a0000000000","URB_INTERRUPT in","00001a0000000000","00001a0000000000","00001a0000000000"
"86","9.584826","1.7.1","host","USB","72","0200000000000000","URB_INTERRUPT in","0200000000000000","0200000000000000","0200000000000000"
"88","9.784824","1.7.1","host","USB","72","0200060000000000","URB_INTERRUPT in","0200060000000000","0200060000000000","0200060000000000"
"90","9.896833","1.7.1","host","USB","72","0200000000000000","URB_INTERRUPT in","0200000000000000","0200000000000000","0200000000000000"
"92","9.968832","1.7.1","host","USB","72","0200170000000000","URB_INTERRUPT in","0200170000000000","0200170000000000","0200170000000000"
"94","10.064834","1.7.1","host","USB","72","0200000000000000","URB_INTERRUPT in","0200000000000000","0200000000000000","0200000000000000"
"96","10.120824","1.7.1","host","USB","72","0200090000000000","URB_INTERRUPT in","0200090000000000","0200090000000000","0200090000000000"
"98","10.280831","1.7.1","host","USB","72","0200000000000000","URB_INTERRUPT in","0200000000000000","0200000000000000","0200000000000000"
"102","10.832823","1.7.1","host","USB","72","4000000000000000","URB_INTERRUPT in","4000000000000000","4000000000000000","4000000000000000"
"104","11.240826","1.7.1","host","USB","72","4000240000000000","URB_INTERRUPT in","4000240000000000","4000240000000000","4000240000000000"
"106","11.360829","1.7.1","host","USB","72","4000000000000000","URB_INTERRUPT in","4000000000000000","4000000000000000","4000000000000000"
"110","13.472831","1.7.1","host","USB","72","0000130000000000","URB_INTERRUPT in","0000130000000000","0000130000000000","0000130000000000"
"114","14.624809","1.7.1","host","USB","72","0000210000000000","URB_INTERRUPT in","0000210000000000","0000210000000000","0000210000000000"
"118","15.608811","1.7.1","host","USB","72","0000060000000000","URB_INTERRUPT in","0000060000000000","0000060000000000","0000060000000000"
"122","16.152807","1.7.1","host","USB","72","00000e0000000000","URB_INTERRUPT in","00000e0000000000","00000e0000000000","00000e0000000000"
"126","16.568803","1.7.1","host","USB","72","0000200000000000","URB_INTERRUPT in","0000200000000000","0000200000000000","0000200000000000"
"130","17.008798","1.7.1","host","USB","72","0000170000000000","URB_INTERRUPT in","0000170000000000","0000170000000000","0000170000000000"
"134","17.408806","1.7.1","host","USB","72","2000000000000000","URB_INTERRUPT in","2000000000000000","2000000000000000","2000000000000000"
"136","17.496797","1.7.1","host","USB","72","2000380000000000","URB_INTERRUPT in","2000380000000000","2000380000000000","2000380000000000"
"138","17.600803","1.7.1","host","USB","72","0000380000000000","URB_INTERRUPT in","0000380000000000","0000380000000000","0000380000000000"
"142","18.992799","1.7.1","host","USB","72","0000220000000000","URB_INTERRUPT in","0000220000000000","0000220000000000","0000220000000000"
"146","19.912786","1.7.1","host","USB","72","0000130000000000","URB_INTERRUPT in","0000130000000000","0000130000000000","0000130000000000"
"150","20.496792","1.7.1","host","USB","72","00001e0000000000","URB_INTERRUPT in","00001e0000000000","00001e0000000000","00001e0000000000"
"154","20.840781","1.7.1","host","USB","72","0000170000000000","URB_INTERRUPT in","0000170000000000","0000170000000000","0000170000000000"
"158","21.048784","1.7.1","host","USB","72","0000170000000000","URB_INTERRUPT in","0000170000000000","0000170000000000","0000170000000000"
"162","21.384784","1.7.1","host","USB","72","00001e0000000000","URB_INTERRUPT in","00001e0000000000","00001e0000000000","00001e0000000000"
"166","22.704781","1.7.1","host","USB","72","0000110000000000","URB_INTERRUPT in","0000110000000000","0000110000000000","0000110000000000"
"170","23.944769","1.7.1","host","USB","72","00000a0000000000","URB_INTERRUPT in","00000a0000000000","00000a0000000000","00000a0000000000"
"174","24.464776","1.7.1","host","USB","72","2000000000000000","URB_INTERRUPT in","2000000000000000","2000000000000000","2000000000000000"
"176","24.528772","1.7.1","host","USB","72","2000380000000000","URB_INTERRUPT in","2000380000000000","2000380000000000","2000380000000000"
"178","24.624765","1.7.1","host","USB","72","0000380000000000","URB_INTERRUPT in","0000380000000000","0000380000000000","0000380000000000"
"182","25.376773","1.7.1","host","USB","72","00000e0000000000","URB_INTERRUPT in","00000e0000000000","00000e0000000000","00000e0000000000"
"186","25.944768","1.7.1","host","USB","72","0000200000000000","URB_INTERRUPT in","0000200000000000","0000200000000000","0000200000000000"
"190","26.344764","1.7.1","host","USB","72","00001c0000000000","URB_INTERRUPT in","00001c0000000000","00001c0000000000","00001c0000000000"
"194","26.688723","1.7.1","host","USB","72","0000050000000000","URB_INTERRUPT in","0000050000000000","0000050000000000","0000050000000000"
"198","27.048766","1.7.1","host","USB","72","0000270000000000","URB_INTERRUPT in","0000270000000000","0000270000000000","0000270000000000"
"202","28.072753","1.7.1","host","USB","72","0000210000000000","URB_INTERRUPT in","0000210000000000","0000210000000000","0000210000000000"
"206","29.000754","1.7.1","host","USB","72","0000150000000000","URB_INTERRUPT in","0000150000000000","0000150000000000","0000150000000000"
"210","29.960750","1.7.1","host","USB","72","0000070000000000","URB_INTERRUPT in","0000070000000000","0000070000000000","0000070000000000"
"214","31.320746","1.7.1","host","USB","72","4000000000000000","URB_INTERRUPT in","4000000000000000","4000000000000000","4000000000000000"
"216","31.616745","1.7.1","host","USB","72","4000270000000000","URB_INTERRUPT in","4000270000000000","4000270000000000","4000270000000000"
"218","31.712738","1.7.1","host","USB","72","4000000000000000","URB_INTERRUPT in","4000000000000000","4000000000000000","4000000000000000"
